STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ASSAM,SIVASAGAR,20.1,33.2,78.3,126.5,257.1,255.5,374.8,342.3,196.9,96.3,20.3,10.3,1811.6,53.3,461.9,1169.5,126.9
ASSAM,BARPETA,10.3,26.9,54,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441,175.2
ASSAM,DHUBRI,10.3,11.7,46.6,147.5,391.6,603,554.7,418.7,340.1,155.1,19.2,4.1,2702.6,22,585.7,1916.5,178.4
ASSAM,DIBRUGARH,30.6,53.1,119.8,229.9,292.4,401,519.4,405.1,325.9,136.9,24,18.5,2556.6,83.7,642.1,1651.4,179.4
ASSAM,JORHAT,22.2,36.7,80.1,204.6,277.4,288.8,390.7,346.9,272.7,121.7,25.6,15.6,2083,58.9,562.1,1299.1,162.9
ASSAM,KARIMGANJ,13.2,35.2,169.7,340.4,604,645.2,646,438,418.7,240.4,86.8,13.2,3650.8,48.4,1114.1,2147.9,340.4
ASSAM,KOKRAJHAR,10.9,27.9,45.8,216.4,461.1,822.2,864.2,677.1,462.9,159.5,18.1,6.1,3772.2,38.8,723.3,2826.4,183.7
ASSAM,SHONITPUR,19.4,23.1,50,144.3,284.1,363.1,384.2,337.9,229.2,109.7,20.9,12.6,1978.5,42.5,478.4,1314.4,143.2
ASSAM,GOLAGHAT,16.9,29.5,65.2,135.9,245.6,254.2,314.7,271.4,209.3,103.7,19.6,14.7,1680.7,46.4,446.7,1049.6,138
ASSAM,TINSUKIA,26.6,58.4,131.2,215.9,272.7,388.3,515.3,387.2,327,118.7,25.1,18.9,2485.3,85,619.8,1617.8,162.7
ASSAM,HAILAKANDI,7.3,42,123.8,239,416.2,470.4,426.8,406.9,317,150.6,36.5,9.1,2645.6,49.3,779,1621.1,196.2
ASSAM,DHEMAJI(LAKHI,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23,20.4,2859.3,76.3,574.1,2025.2,183.7
ASSAM,KARBI ANGLONG,12.8,24.1,53.8,106.3,139.4,224.9,238.7,220.5,182.9,100.1,26.3,11.2,1341,36.9,299.5,867,137.6
ASSAM,UDALGURI(DARA,13.1,21.4,53.5,168.8,320,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9
ASSAM,KAMRUP METROP,12,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2
ASSAM,CHIRANG(BONGAI,10,31.2,57.5,183.4,442,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5
ASSAM,BAKSA BARPETA,10.3,26.9,54,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441,175.2
ASSAM,BONGAIGAON,10,31.2,57.5,183.4,442,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5
ASSAM,MORIGAON,18.7,24.4,51.6,116.8,169.1,310.1,374.8,309.2,221.4,119.3,19.9,8.2,1743.5,43.1,337.5,1215.5,147.4
ASSAM,NALBARI,14.9,18.6,56.7,184.6,380.7,551.2,470.9,322,220.2,110.4,21.6,4.8,2356.6,33.5,622,1564.3,136.8
MEGHALAYA,EAST KHASI HI,15.4,24.1,129.7,312.5,733.7,1476.2,1518.4,1019.4,607.8,277.9,40.3,10.7,6166.1,39.5,1175.9,4621.8,328.9
MEGHALAYA,JAINTIA HILLS,33.8,44.1,115.1,282.3,598.8,1316.1,1591.3,933.8,826.3,517.7,110.9,9.7,6379.9,77.9,996.2,4667.5,638.3
MEGHALAYA,EAST GARO HIL,5.6,16,64,244.4,352.2,531.1,465.8,358.9,315.7,154.1,35.8,10.8,2554.4,21.6,660.6,1671.5,200.7
MEGHALAYA,RI-BHOI,16.2,15.1,55.8,117.1,273.3,340.5,425.6,400.2,313.2,125.4,25.7,8.8,2116.9,31.3,446.2,1479.5,159.9
MEGHALAYA,SOUTH GARO HI,6.8,10.7,48.7,180.9,350,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2
MEGHALAYA,W KHASI HILL,19.7,31.1,61.3,160.5,352.3,651.5,1050.3,607.9,465.3,192.5,32.1,18.5,3643,50.8,574.1,2775,243.1
MEGHALAYA,WEST GARO HIL,6.8,10.7,48.7,180.9,350,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2
MANIPUR,IMPHAL EAST,13.5,34.3,84.5,145.5,208.9,370.7,324,280.4,189.1,144,36.1,8.2,1839.2,47.8,438.9,1164.2,188.3
MANIPUR,SENAPATI,13.3,29.9,47.5,124.7,198.4,368.2,366.1,326.6,220.1,156,57,14.8,1922.6,43.2,370.6,1281,227.8
MANIPUR,TAMENGLONG,48.5,229.6,224.5,431.5,539.9,1158.7,1820.9,1522.1,726.3,376.1,144,7.2,7229.3,278.1,1195.9,5228,527.3
MANIPUR,CHANDEL,8.5,27.9,36.3,77.9,179,609.9,540.3,490.9,366,254.9,48.3,7.6,2647.5,36.4,293.2,2007.1,310.8
MANIPUR,UKHRUL,14.5,36.1,56.9,76.6,122.2,348.3,296.8,243.3,169.1,122.7,49.4,13.1,1549,50.6,255.7,1057.5,185.2
MANIPUR,THOUBAL,15.3,26.2,43.1,96.2,140.1,333,181.7,212.1,106.8,94.6,27.9,9.3,1286.3,41.5,279.4,833.6,131.8
MANIPUR,BISHNUPUR,54.5,50,112.4,108.1,159.3,435.6,310.4,368.9,219.4,237,56.9,15,2127.5,104.5,379.8,1334.3,308.9
MANIPUR,IMPHAL WEST,22.3,31,63.8,109.1,134.6,337.3,234.7,239.3,160.5,144.5,34.3,19.5,1530.9,53.3,307.5,971.8,198.3
MANIPUR,CHURACHANDPUR,13,31.1,72.7,187.3,238,422.1,407.6,382.6,348.3,173.2,50.1,11.4,2337.4,44.1,498,1560.6,234.7
MIZORAM,AIZAWL,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45,645.1,1788,336.3
MIZORAM,CHAMPHAI,13.4,21.8,83,122.7,261.5,350.5,369.3,336.6,296.1,226.7,64.5,22.5,2168.6,35.2,467.2,1352.5,313.7
MIZORAM,KOLASIB,13.4,40,131.6,183.5,316.4,437.6,431.9,453.2,369.8,219.8,49.9,12.9,2660,53.4,631.5,1692.5,282.6
MIZORAM,LUNGLEI,5.5,21.8,88,119.3,310.3,459.4,514.6,481.7,410.6,245.4,65.9,8.6,2731.1,27.3,517.6,1866.3,319.9
MIZORAM,CHHIMTUIPUI,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45,645.1,1788,336.3
MIZORAM,LAWNGTLAI,8.3,27.5,66.7,122.9,319.8,437.2,493.9,408.8,365.8,231.5,66,9.2,2557.6,35.8,509.4,1705.7,306.7
MIZORAM,MAMIT,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45,645.1,1788,336.3
MIZORAM,SAIHA,6.7,31,69.7,116.7,335.4,384.8,437.9,412.2,387.7,214.2,67.9,16.4,2480.6,37.7,521.8,1622.6,298.5
MIZORAM,SERCHHIP,15.4,33.8,103.6,150.9,294.3,395.9,477.1,430.7,346.7,167.3,71.6,18.5,2505.8,49.2,548.8,1650.4,257.4
NAGALAND,KOHIMA,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1
NAGALAND,TUENSANG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8
NAGALAND,MOKOKCHUNG,23.4,31.1,60.9,138.3,287.1,525.5,525.1,394.2,231.3,137.3,43.1,12.5,2409.8,54.5,486.3,1676.1,192.9
NAGALAND,DIMAPUR,14.7,4.1,57.2,77.8,151.8,204.8,187.7,272,150.8,125,43.7,16.3,1305.9,18.8,286.8,815.3,185
NAGALAND,WOKHA,20.4,42.1,96.7,144.3,325.6,416.3,495.6,478.9,277.9,127.7,55.7,16.5,2497.7,62.5,566.6,1668.7,199.9
NAGALAND,MON,13.1,33.5,48.2,137.9,193.9,271.1,273.6,177.4,101.8,62.1,19.8,7.5,1339.9,46.6,380,823.9,89.4
NAGALAND,ZUNHEBOTO,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8
NAGALAND,PHEK,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1
NAGALAND,KEPHRIE,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8
NAGALAND,LONGLENG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8
NAGALAND,PEREN,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1
TRIPURA,NORTH TRIPURA,13.6,37.2,118.4,272.8,440.1,477.5,402.7,367.7,279.8,173.8,45.1,13.1,2641.8,50.8,831.3,1527.7,232
TRIPURA,SOUTH TRIPURA,8.1,30.6,78.5,169.7,335,474.9,497.4,396.8,255.1,175.1,44.5,9.7,2475.4,38.7,583.2,1624.2,229.3
TRIPURA,WEST TRIPURA,9.6,27.9,72.1,194.2,359.9,426.6,395.9,323.2,250.6,174.9,41.5,10.3,2286.7,37.5,626.2,1396.3,226.7
TRIPURA,DHALAI,13.6,38.9,105.5,246.3,431.3,482.7,363.9,338.2,255.9,182.8,42.1,11.4,2512.6,52.5,783.1,1440.7,236.3
WEST BENGAL,COOCH BEHAR,8.9,16,32.2,138.9,345.4,668.8,864.9,733,470.9,141.3,15.1,8.3,3443.7,24.9,516.5,2737.6,164.7
WEST BENGAL,DARJEELING,48.3,33.8,57.7,130.5,262.3,534.7,756.9,645.9,502.8,118.9,16.8,9.9,3118.5,82.1,450.5,2440.3,145.6
WEST BENGAL,JALPAIGURI,9.2,17.8,39.7,119.3,339.3,667.3,931.4,670.9,488.3,159.9,18,7.2,3468.3,27,498.3,2757.9,185.1
WEST BENGAL,MALDA,13.6,10.5,14.5,34.8,106.2,216.6,332.9,284.8,283,102.5,13.2,6.8,1419.4,24.1,155.5,1117.3,122.5
WEST BENGAL,SOUTH DINAJPUR,8.9,13.3,19,58.9,167.8,289.3,368.9,248,279.7,112.5,13,5.6,1584.9,22.2,245.7,1185.9,131.1
WEST BENGAL,NORTH DINAJPUR,21.5,2,8,35.7,162.9,316,367,307.7,403.8,90.7,9.1,3.2,1727.6,23.5,206.6,1394.5,103
SIKKIM,NORTH SIKKIM,61.6,98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9
SIKKIM,EAST SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5
SIKKIM,WEST SIKKIM,61.6,98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9
SIKKIM,SOUTH SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5
WEST BENGAL,BANKURA,12,18,22,36.3,66.9,215,303.2,290.7,242.3,105.2,9.8,9.5,1330.9,30,125.2,1051.2,124.5
WEST BENGAL,BIRBHUM,13.4,16.1,21.2,30.9,78.7,222.3,313.9,298.8,271,105.1,15.8,5.6,1392.8,29.5,130.8,1106,126.5
WEST BENGAL,BURDWAN,10.7,22.2,19.8,37.8,78.8,198.2,294.1,285.3,251.1,99.8,11.4,6,1315.2,32.9,136.4,1028.7,117.2
WEST BENGAL,HOOGHLY,11.9,26.6,28.2,50.6,108.5,243.4,316.1,265.1,243.3,102.1,16,6.9,1418.7,38.5,187.3,1067.9,125
WEST BENGAL,HOWRAH,12.2,24.9,32,52.6,126.4,233.2,343.2,329.4,305.6,99.1,31.3,10.1,1600,37.1,211,1211.4,140.5
WEST BENGAL,PURULIA,14.3,20.7,24.6,36.1,57.3,222.1,298.7,307,266.7,91.5,16.7,7.6,1363.3,35,118,1094.5,115.8
WEST BENGAL,MURSHIDABAD,16.8,11.2,19,34,87,237.6,328.6,256.9,256.2,126.3,11,6.5,1391.1,28,140,1079.3,143.8
WEST BENGAL,NADIA,12.2,17.6,21.1,42.1,95.2,234.1,270.8,236,214.1,100.2,10.4,7.8,1261.6,29.8,158.4,955,118.4
WEST BENGAL,NORTH 24 PARG,15.6,17.8,30.3,51.5,113.4,271.9,317.2,304.3,279.4,130.9,21.8,5.7,1559.8,33.4,195.2,1172.8,158.4
WEST BENGAL,SOUTH 24 PARG,13.6,26.7,37.9,41.7,125.1,316,463.6,416.2,356.8,218.4,62.3,9.7,2088,40.3,204.7,1552.6,290.4
WEST BENGAL,EAST MIDNAPOR,15.9,18.6,31.8,34.7,108.1,253.5,284.9,338.7,343.2,196.9,34,9.3,1669.6,34.5,174.6,1220.3,240.2
WEST BENGAL,WEST MIDNAPOR,12.2,24.1,39,56.8,107.6,243.8,329.5,316,276.8,106.5,17.9,5.3,1535.5,36.3,203.4,1166.1,129.7
WEST BENGAL,KOLKATA,14.4,24.7,33.5,53.1,113.4,278.3,361,335.2,306.6,155.3,24.8,8.9,1709.2,39.1,200,1281.1,189
ORISSA,BALASORE,11.9,36,38.4,59.2,120.9,259.1,287.2,334.4,296.4,190.1,38.8,6.6,1679,47.9,218.5,1177.1,235.5
ORISSA,BOLANGIR,11.1,15.9,20.1,22.7,37.5,200.5,386.2,366.9,220.5,69.5,13.6,6.3,1370.8,27,80.3,1174.1,89.4
ORISSA,KANDHAMAL/PHU,12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,38.9,134.2,1122.3,152.9
ORISSA,CUTTACK,14.7,26.9,28.9,43.2,74.3,227.2,338,352.3,245,124.5,40.2,4.5,1519.7,41.6,146.4,1162.5,169.2
ORISSA,DHENKANAL,7.3,20.8,31.3,38.4,71.2,226.1,315.8,369.1,233.4,125.5,25.5,4.6,1469,28.1,140.9,1144.4,155.6
ORISSA,GANJAM,13.3,22.7,30.3,41.5,85.3,158.8,219.2,245,210.4,198.4,70.8,8.8,1304.5,36,157.1,833.4,278
ORISSA,KALAHANDI,4.8,15,15.3,25.6,44.2,237.5,368.5,371.8,229.8,72.3,13.4,4.8,1403,19.8,85.1,1207.6,90.5
ORISSA,KEONDJHARGARH,16.2,31.8,37,50.2,101.2,232.9,277.7,320.2,225.7,113.6,24.5,5.7,1436.7,48,188.4,1056.5,143.8
ORISSA,KORAPUT,5.2,12.3,16.3,53.2,89.4,200.8,384.1,410.5,267.4,147.6,31.9,3.8,1622.5,17.5,158.9,1262.8,183.3
ORISSA,MAYURBHANJ,11.2,25.4,47.9,61.4,110.2,279.7,323.9,373.8,278.5,119.1,23.6,6,1660.7,36.6,219.5,1255.9,148.7
ORISSA,PURI,16.1,25.8,18.9,17.6,65.3,168.9,268.5,328.4,255.7,185.3,56.3,9.4,1416.2,41.9,101.8,1021.5,251
ORISSA,SAMBALPUR,12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,1533.5,32,68.1,1361.1,72.3
ORISSA,SUNDARGARH,19.3,16.3,18,14.4,39.6,216.9,368.3,373.2,217.5,50.4,8.8,5.1,1347.8,35.6,72,1175.9,64.3
ORISSA,BHADRAK,9.9,34.1,37.6,53.1,103.9,218.4,269.8,354,227.7,159.5,35.3,4.1,1507.4,44,194.6,1069.9,198.9
ORISSA,JAJPUR,10.6,28.4,33.5,48,91.9,250,283.5,363.2,258.1,134.6,33.6,5.9,1541.3,39,173.4,1154.8,174.1
ORISSA,KENDRAPARA,8.4,32.6,37.2,27.8,90.5,205.8,257.4,362.6,262.7,179.9,70.2,5.5,1540.6,41,155.5,1088.5,255.6
ORISSA,ANGUL,6.9,19.1,25.1,29.7,55.4,205.8,320.2,355.4,228,98.1,14.7,3.6,1362,26,110.2,1109.4,116.4
ORISSA,NAWAPARA,12.5,11.8,16.9,24,33.9,182.9,347.3,302.1,184.9,60.7,14.8,5.6,1197.4,24.3,74.8,1017.2,81.1
ORISSA,MALKANGIRI,1.8,5.5,10.4,35.3,61.6,206.9,437.3,449.2,230.7,116.3,16.9,0.8,1572.7,7.3,107.3,1324.1,134
ORISSA,NAWARANGPUR,5.9,12.6,14.4,53.9,104.1,241.6,430.9,432.1,242.7,102.6,19,0.7,1660.5,18.5,172.4,1347.3,122.3
ORISSA,NAYAGARH,13.6,22.5,26.2,42,47.7,213.4,312.2,327.4,242.2,152.2,47.9,2.8,1450.1,36.1,115.9,1095.2,202.9
ORISSA,KHURDA,10.1,25.9,26.9,30.9,68,186.4,310.8,339.3,251.5,167.7,45.5,6.5,1469.5,36,125.8,1088,219.7
ORISSA,BARGARH,8.7,14.9,18.1,14.8,19.5,188.4,362.1,357.4,217.9,51.2,6.8,5.1,1264.9,23.6,52.4,1125.8,63.1
ORISSA,JHARSUGUDA,16.6,21.2,18.6,18.4,36.6,224.6,402.3,415.8,239.1,63.8,10.1,7.2,1474.3,37.8,73.6,1281.8,81.1
ORISSA,DEOGARH,12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,1533.5,32,68.1,1361.1,72.3
ORISSA,RAYAGADA,12.4,23.1,38.5,56,94,173.2,314.6,266.5,206.2,109.4,29,4,1326.9,35.5,188.5,960.5,142.4
ORISSA,GAJAPATI,9.5,35,64.2,79.1,136.8,201.7,241,261.1,226.5,141.8,60.2,5.2,1462.1,44.5,280.1,930.3,207.2
ORISSA,JAGATSINGHAPU,10.7,29,35.3,41.3,107.1,237.2,287.3,360.6,235.7,145.1,67.5,8.2,1565,39.7,183.7,1120.8,220.8
ORISSA,BOUDHGARH,12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,38.9,134.2,1122.3,152.9
ORISSA,SONEPUR,6,14.3,18.5,14.3,30.4,178.2,380.4,432.5,252.3,56.9,6.7,4.9,1395.4,20.3,63.2,1243.4,68.5
JHARKHAND,BOKARO,11.8,13.7,18.3,19,38.2,188.6,308.1,300.8,250.7,77.9,14,6.4,1247.5,25.5,75.5,1048.2,98.3
JHARKHAND,DHANBAD,12,17.4,19.5,18.2,49.6,200.9,340.3,310,271.1,99.5,10.5,6.2,1355.2,29.4,87.3,1122.3,116.2
JHARKHAND,DUMKA,15.4,14.5,17.2,26.1,69,203,327.2,304.3,262.4,124.5,12.4,5.5,1381.5,29.9,112.3,1096.9,142.4
JHARKHAND,HAZARIBAG,14.1,15.3,14.8,11.7,35.5,176.9,317.5,289.6,221.9,81.8,7.9,9,1196,29.4,62,1005.9,98.7
JHARKHAND,PALAMU,17.3,12.8,10.8,7.1,15.1,140.3,306.7,298.9,228.6,46.6,5.7,6,1095.9,30.1,33,974.5,58.3
JHARKHAND,RANCHI,21.9,26.8,21.7,23.6,48.3,217.4,357.1,344.1,241.6,78.7,11.9,10.1,1403.2,48.7,93.6,1160.2,100.7
JHARKHAND,SAHIBGANJ,13.1,6.1,12.6,22,85.2,258.3,399.7,307.6,333.7,99.8,9.9,5.7,1553.7,19.2,119.8,1299.3,115.4
JHARKHAND,WEST SINGHBHUM,12.9,21.8,23.1,23.9,56.7,208,315.1,342.6,222.7,63.5,9.8,5.5,1305.6,34.7,103.7,1088.4,78.8
JHARKHAND,DEOGHAR,13.4,12.1,9.6,13.5,48,172.3,293.4,266.9,243.6,76.5,9.5,3.3,1162.1,25.5,71.1,976.2,89.3
JHARKHAND,GIRIDIH,11.5,9.9,13.7,18,40.6,206.5,342.9,275.8,239.8,80.3,8,5.7,1252.7,21.4,72.3,1065,94
JHARKHAND,GODDA,11.5,9.9,10.9,20.7,54.4,170.7,294.5,253,225,78.7,8,7.1,1144.4,21.4,86,943.2,93.8
JHARKHAND,GUMLA,22.2,20.4,19.1,25.5,47.1,229,372.7,343.2,252.1,68.3,13,8.7,1421.3,42.6,91.7,1197,90
JHARKHAND,LOHARDAGA,14.1,20.9,20.7,18.3,38.9,186.5,298.2,289.8,230.5,57.7,13.1,8.4,1197.1,35,77.9,1005,79.2
JHARKHAND,CHATRA,19.4,18.5,11.2,5.8,17.8,157.7,336.5,303,234.1,55.7,5.2,7,1171.9,37.9,34.8,1031.3,67.9
JHARKHAND,KODERMA,21,12.1,13,10,28.5,172.7,270.9,268,218,86.5,8.2,7.3,1116.2,33.1,51.5,929.6,102
JHARKHAND,PAKUR,14.6,12.8,15.2,34.2,86.1,228.5,377.5,339.2,341,143.7,13.4,6.2,1612.4,27.4,135.5,1286.2,163.3
JHARKHAND,EAST SINGHBHU,14.7,18.4,20.7,31.9,63.3,225.5,293.7,312.7,225.7,68.4,12.5,5.2,1292.7,33.1,115.9,1057.6,86.1
JHARKHAND,GARHWA,16,9.6,10.6,6.8,10.5,120.9,288.1,292.8,226,52.6,2.6,5.3,1041.8,25.6,27.9,927.8,60.5
JHARKHAND,SERAIKELA-KHA,18,21.1,21.8,24.3,51.4,240.7,322.5,321.9,250.4,71.8,10.3,5.4,1359.6,39.1,97.5,1135.5,87.5
JHARKHAND,JAMTARA,14.4,20.7,18.5,16.3,66.4,209.4,346.2,342.3,295.9,127.6,12.7,5.6,1476,35.1,101.2,1193.8,145.9
JHARKHAND,LATEHAR,16.6,18.6,20.4,9,22.7,168.6,340.7,288.5,224,66.6,7.8,8,1191.5,35.2,52.1,1021.8,82.4
JHARKHAND,SIMDEGA,19.1,18.9,15.5,23.9,35,237.8,459.4,404.7,281.2,58.8,12.6,6.2,1573.1,38,74.4,1383.1,77.6
JHARKHAND,KHUNTI(RANCHI,22.6,24.4,24.2,17.4,45.4,243.3,379.8,360.5,267.5,71.4,16.9,9.4,1482.8,47,87,1251.1,97.7
JHARKHAND,RAMGARH,12.5,15,13.3,20.7,47.3,207.1,323.8,287.4,235.5,68.8,9.2,7.7,1248.3,27.5,81.3,1053.8,85.7
BIHAR,BHAGALPUR,17.7,10.5,10.2,23.2,65.5,197.8,291,261,227.5,88.5,8.6,6.4,1207.9,28.2,98.9,977.3,103.5
BIHAR,EAST CHAMPARAN,12.7,9.7,7.8,13.2,49.1,163.5,354.5,297.4,206.2,73.2,4.4,6,1197.7,22.4,70.1,1021.6,83.6
